id,grocery,thumbnail,stock,price
1,Lamb Rack - Ontario,http://dummyimage.com/131x100.png/cc0000/ffffff,11,4
2,Island Oasis - Mango Daiquiri,http://dummyimage.com/132x100.png/ff4444/ffffff,72,4
3,Tomatoes - Roma,http://dummyimage.com/173x100.png/ff4444/ffffff,84,4
4,Calypso - Strawberry Lemonade,http://dummyimage.com/142x100.png/dddddd/000000,40,7
5,Pie Shells 10,http://dummyimage.com/185x100.png/dddddd/000000,9,12
6,"Yogurt - Banana, 175 Gr",http://dummyimage.com/171x100.png/cc0000/ffffff,11,5
7,Bar Mix - Lime,http://dummyimage.com/142x100.png/ff4444/ffffff,28,8
8,Milk - Chocolate 250 Ml,http://dummyimage.com/188x100.png/ff4444/ffffff,76,9
9,Cheese - Perron Cheddar,http://dummyimage.com/183x100.png/dddddd/000000,86,11
10,Laundry - Bag Cloth,http://dummyimage.com/101x100.png/5fa2dd/ffffff,13,8
11,"Spoon - Soup, Plastic",http://dummyimage.com/132x100.png/5fa2dd/ffffff,40,6
12,Cheese - Pont Couvert,http://dummyimage.com/115x100.png/dddddd/000000,39,4
13,Sprouts - Alfalfa,http://dummyimage.com/215x100.png/cc0000/ffffff,11,6
14,Wine - Cotes Du Rhone Parallele,http://dummyimage.com/225x100.png/ff4444/ffffff,38,10
15,"Star Anise, Whole",http://dummyimage.com/115x100.png/ff4444/ffffff,89,5
16,Sardines,http://dummyimage.com/131x100.png/dddddd/000000,82,9
17,Chinese Foods - Thick Noodles,http://dummyimage.com/215x100.png/ff4444/ffffff,78,8
18,"Lid - 10,12,16 Oz",http://dummyimage.com/191x100.png/ff4444/ffffff,73,9
19,Cheese - Goat,http://dummyimage.com/180x100.png/5fa2dd/ffffff,86,5
20,"Olives - Green, Pitted",http://dummyimage.com/182x100.png/ff4444/ffffff,67,5
21,"Bread - White, Sliced",http://dummyimage.com/206x100.png/ff4444/ffffff,12,11
22,Kirsch - Schloss,http://dummyimage.com/199x100.png/dddddd/000000,64,3
23,"Cheese - Cheddar, Old White",http://dummyimage.com/159x100.png/ff4444/ffffff,76,8
24,"Soup - Campbells, Creamy",http://dummyimage.com/111x100.png/5fa2dd/ffffff,17,8
25,Pimento - Canned,http://dummyimage.com/165x100.png/dddddd/000000,12,5
26,Mushroom - King Eryingii,http://dummyimage.com/153x100.png/5fa2dd/ffffff,28,5
27,Wine - Fat Bastard Merlot,http://dummyimage.com/105x100.png/cc0000/ffffff,14,8
28,Soup Campbells Turkey Veg.,http://dummyimage.com/161x100.png/5fa2dd/ffffff,30,4
29,"Squash - Pattypan, Yellow",http://dummyimage.com/234x100.png/dddddd/000000,45,7
30,Jolt Cola - Red Eye,http://dummyimage.com/126x100.png/5fa2dd/ffffff,53,5
31,Grapes - Green,http://dummyimage.com/110x100.png/ff4444/ffffff,90,8
32,Muffin - Mix - Mango Sour Cherry,http://dummyimage.com/211x100.png/cc0000/ffffff,46,5
33,Garlic Powder,http://dummyimage.com/234x100.png/cc0000/ffffff,21,11
34,Table Cloth - 53x69 Colour,http://dummyimage.com/186x100.png/cc0000/ffffff,89,3
35,Yokaline,http://dummyimage.com/185x100.png/dddddd/000000,40,11
36,Wine - Chateau Bonnet,http://dummyimage.com/100x100.png/dddddd/000000,54,4
37,Graham Cracker Mix,http://dummyimage.com/104x100.png/cc0000/ffffff,53,10
38,Wine - Rosso Toscano Igt,http://dummyimage.com/190x100.png/ff4444/ffffff,51,11
39,"Nut - Almond, Blanched, Sliced",http://dummyimage.com/106x100.png/5fa2dd/ffffff,70,12
40,"Iced Tea - Lemon, 460 Ml",http://dummyimage.com/206x100.png/cc0000/ffffff,45,5
41,Soup Bowl Clear 8oz92008,http://dummyimage.com/125x100.png/cc0000/ffffff,41,6
42,Muffin Batt - Choc Chk,http://dummyimage.com/128x100.png/dddddd/000000,90,8
43,Tamarillo,http://dummyimage.com/211x100.png/ff4444/ffffff,53,5
44,Onions Granulated,http://dummyimage.com/134x100.png/dddddd/000000,74,4
45,Silicone Parch. 16.3x24.3,http://dummyimage.com/218x100.png/5fa2dd/ffffff,79,10
46,"Wine - White, Ej Gallo",http://dummyimage.com/107x100.png/dddddd/000000,83,6
47,Flower - Daisies,http://dummyimage.com/119x100.png/ff4444/ffffff,21,4
48,Pepper - Scotch Bonnet,http://dummyimage.com/176x100.png/dddddd/000000,34,3
49,"Wine - Red, Wolf Blass, Yellow",http://dummyimage.com/204x100.png/dddddd/000000,74,11
50,"Soup - Campbells, Spinach Crm",http://dummyimage.com/185x100.png/ff4444/ffffff,78,12
51,Garam Masala Powder,http://dummyimage.com/100x100.png/dddddd/000000,59,3
52,Olives - Nicoise,http://dummyimage.com/171x100.png/5fa2dd/ffffff,86,5
53,Carbonated Water - Orange,http://dummyimage.com/120x100.png/dddddd/000000,62,3
54,Soup - Chicken And Wild Rice,http://dummyimage.com/131x100.png/5fa2dd/ffffff,72,12
55,Compound - Passion Fruit,http://dummyimage.com/194x100.png/cc0000/ffffff,90,5
56,Chinese Foods - Chicken,http://dummyimage.com/122x100.png/cc0000/ffffff,15,12
57,"Chilli Paste, Sambal Oelek",http://dummyimage.com/221x100.png/5fa2dd/ffffff,43,12
58,"Cheese - Brie, Triple Creme",http://dummyimage.com/212x100.png/ff4444/ffffff,86,4
59,Papadam,http://dummyimage.com/230x100.png/ff4444/ffffff,23,6
